Chapter,Sentence,Snippet
chapter_001.txt,"Klein Moretti, a citizen of the Northern Continent’s Loen Kingdom, Awwa
County, City of Tingen.",0,5,klein,"Klein Moretti, a citizen of the Northern Cont...",False
chapter_001.txt,"The bereavement
allowance gave Klein the opportunity to study at a private language school
and laid the foundation for his admission into university…
His mother was a devotee of the Evernight Goddess.",31,36,klein,"The bereavement
allowance gave Klein the opportunity to study at a private l...",False
chapter_001.txt,"She passed away the
year Klein passed the entrance examinations to Khoy University…
He also had an elder brother and a younger sister.",25,30,klein,"She passed away the
year Klein passed the entrance examinations to Kho...",False
chapter_001.txt,"At present, the family was supported solely by the elder
brother who worked at an import and export company as a clerk…
As a history graduate, Klein grasped knowledge of the ancient Feysac
language—deemed the origin of all languages in the Northern Continent—
as well as the Hermes language which often appeared in ancient
mausoleums as well as text regarding sacrificial and praying rituals…
Hermes language?",143,148,klein,"...pany as a clerk…
As a history graduate, Klein grasped knowledge of the ancient Feysac...",False
chapter_001.txt,"With Klein’s family situation, how can they have the money or means to buy
a revolver?",5,10,klein,"With Klein’s family situation, how can they have t...",False
chapter_001.txt,Klein Moretti?,0,5,klein,Klein Moretti?,False
chapter_002.txt,"With Klein Moretti’s family situation, even a kerosene lamp was a dream,
much less a gas lamp.",5,10,klein,"With Klein Moretti’s family situation, even a kero...",False
chapter_002.txt,"Therefore,
he insisted on creating conducive studying conditions for Klein even if it
meant taking on debt.",69,74,klein,"...ating conducive studying conditions for Klein even if it
meant taking on debt.",False
chapter_002.txt,"“Releasing a round with a revolver pointed at the temple?” After mixing
and matching the clues from before, Zhou Mingrui had a rough idea how
Klein had died.",142,147,klein,"...fore, Zhou Mingrui had a rough idea how
Klein had died.",False
chapter_002.txt,"Klein’s experience was still not something he needed to concern himself
with.",0,5,klein,Klein’s experience was still not something he...,False
chapter_003.txt,"Only then did he had the mood to carefully study Klein’s memory
fragments.",49,54,klein,"...did he had the mood to carefully study Klein’s memory
fragments.",False
chapter_003.txt,"Perhaps as a result of having a bullet pass through his head, Klein’s
memories were like shattered glass.",62,67,klein,"...having a bullet pass through his head, Klein’s
memories were like shattered glass.",False
chapter_003.txt,"In
light of the present situation, Zhou Mingrui believed that if Klein were to
return to university, it was unlikely he could graduate.",65,70,klein,"...ituation, Zhou Mingrui believed that if Klein were to
return to university, it was un...",False
chapter_003.txt,"Due to Klein’s memories, seeing Melissa made him feel as though
she was really his younger sister.",7,12,klein,"Due to Klein’s memories, seeing Melissa made him fee...",False
chapter_003.txt,Melissa was different from Benson and Klein.,38,43,klein,Melissa was different from Benson and Klein.,False
chapter_003.txt,"Having suffered from a lack of culture, Benson, who knew the importance
of education, supported his sister’s dreams just like how he supported
Klein’s university education.",143,148,klein,"...ter’s dreams just like how he supported
Klein’s university education.",False
chapter_003.txt,"It was not that Klein did not think of helping share his elder brother’s
burden but being born a commoner and having been admitted into an
average language school, he felt a strong sense of inadequacy when he
enrolled into university.",16,21,klein,It was not that Klein did not think of helping share his elde...,False
